value,mean_perf
0.5,0.6199
2.0,0.4864
3.0,0.5339
4.0,0.5650
5.0,0.5344
6.0,0.6892
7.5,0.6710
9.0,0.6625
10.0,0.4550
11.0,0.3864
12.0,0.7179
13.0,0.5714
14.0,0.6667
15.5,0.6410
17.0,0.8333
18.0,0.5088
19.0,0.5455
20.0,0.4615
