value,mean_perf
0.030576327357658594,0.7125
0.07261176242898043,0.6695
0.12677226185181015,0.5931
0.17381266171704485,0.5295
0.22360307912479443,0.4745
0.2767438362329382,0.4721
0.3269279512393997,0.3800
0.37432617034319027,0.3829
0.4266313320183599,0.3552
0.47100258871415235,0.3359
0.5277565462498605,0.2801
0.5747827368127992,0.1973
0.6243638689488403,0.1875
0.6763526552311507,0.1770
0.724475731871086,0.1922
0.7728805249010735,0.1854
0.8250623134070302,0.1326
0.8736686786703085,0.3681
0.9239153502545672,0.1805
0.964666572851774,0.1065
