value,mean_perf
1.0,0.6479
2.0,0.6128
3.0,0.5856
4.0,0.5942
5.0,0.5981
6.0,0.5924
7.0,0.5897
8.0,0.6015
9.0,0.5524
10.0,0.5224
11.0,0.4884
12.0,0.4863
13.0,0.5130
14.0,0.4000
15.0,0.3714
16.0,0.3333
17.0,0.3571
18.0,0.5000
19.0,0.1111
20.0,0.2000
21.0,0.0000
22.0,0.3333
23.0,0.6667
24.0,0.1111
26.0,0.1667
27.0,0.3333
28.0,0.0000
29.0,0.0000
35.0,0.0000
46.0,0.6667
50.0,0.6667
51.0,0.3333
