	rbes	genbioel	arboel	Weighted Avg	Legend
1	0.58	0.54	0.6	0.5733333333333334	<-- rare entity (<= 10)
0	0.6	0.56	0.77	0.6433333333333333	<-- frequent entity (> 10)
