	rbes	genbioel	biosyn	arboel	Weighted Avg	Legend
1	0.52	0.45		0.68	0.5499999999999999	<-- homonyms exist
0	0.64	0.61	0.91	0.7	0.6556590043790689	<-- no homonyms
