	rbes	genbioel	biosyn	arboel	Weighted Avg	Legend
1	0.29	0.39	0.91	0.45	0.3926553075725306	<-- high variation (> 0.1)
0	0.82	0.67		0.87	0.7866666666666667	<-- low variation (<= 0.1)
