	rbes	genbioel	biosyn	arboel	Weighted Avg	Legend
1	0.33	1.0		0.33	0.5533333333333333	<-- long mention (T >= 40)
0	0.59	0.55	0.91	0.69	0.685	<-- short mention (T < 40)
